"Activity","Subject","Feature","Variable","Axis","Average"
"LAYING","2","BodyGyroJerkMag","mean",NA,-0.991767074166667
"LAYING","2","BodyGyroJerkMag","std",NA,-0.989718095208333
"LAYING","2","BodyGyroMag","mean",NA,-0.950011569583333
"LAYING","2","BodyGyroMag","std",NA,-0.961164053958333
"LAYING","2","GravityAcc","mean","X",-0.509754238125
"LAYING","2","GravityAcc","mean","Y",0.752536639375
"LAYING","2","GravityAcc","mean","Z",0.646834879583333
"LAYING","2","GravityAcc","std","X",-0.959014441458333
"LAYING","2","GravityAcc","std","Y",-0.988211865208333
"LAYING","2","GravityAcc","std","Z",-0.984230418125
"LAYING","2","GravityAccMag","mean",NA,-0.977435485208333
"LAYING","2","GravityAccMag","std",NA,-0.972873912916667
"LAYING","3","BodyAcc","mean","X",-0.352574378145161
"LAYING","3","BodyAcc","mean","Y",-0.490062830704032
"LAYING","3","BodyAcc","mean","Z",-0.534816309559677
"LAYING","3","BodyAcc","std","X",-0.983233884112903
"LAYING","3","BodyAcc","std","Y",-0.963076074354839
"LAYING","3","BodyAcc","std","Z",-0.9634850575
"LAYING","3","BodyAccJerk","mean","X",-0.45176604483871
"LAYING","3","BodyAccJerk","mean","Y",-0.477474006289516
"LAYING","3","BodyAccJerk","mean","Z",-0.491739301549198
"LAYING","3","BodyAccJerk","std","X",-0.982000965403226
"LAYING","3","BodyAccJerk","std","Y",-0.969877368709677
"LAYING","3","BodyAccJerk","std","Z",-0.982902533790323
"LAYING","3","BodyAccJerkMag","mean",NA,-0.979484593387097
"LAYING","3","BodyAccJerkMag","std",NA,-0.976121297903226
"LAYING","3","BodyAccMag","mean",NA,-0.969157810645161
"LAYING","3","BodyAccMag","std",NA,-0.966284196935484
"LAYING","3","BodyBodyAccJerkMag","mean",NA,-0.975949597903226
"LAYING","3","BodyBodyAccJerkMag","std",NA,-0.975305377903226
"LAYING","3","BodyBodyGyroJerkMag","mean",NA,-0.984278251290323
"LAYING","3","BodyBodyGyroJerkMag","std",NA,-0.982568158064516
"LAYING","3","BodyBodyGyroMag","mean",NA,-0.96458672483871
"LAYING","3","BodyBodyGyroMag","std",NA,-0.955441855806452
"LAYING","3","BodyGyro","mean","X",-0.495492158468145
"LAYING","3","BodyGyro","mean","Y",-0.524975199100806
"LAYING","3","BodyGyro","mean","Z",-0.412171199846774
"LAYING","3","BodyGyro","std","X",-0.975266092903226
"LAYING","3","BodyGyro","std","Y",-0.977152574596774
"LAYING","3","BodyGyro","std","Z",-0.965381231612903
"LAYING","3","BodyGyroJerk","mean","X",-0.10004449883871
"LAYING","3","BodyGyroJerk","mean","Y",-0.0389771765322581
"LAYING","3","BodyGyroJerk","mean","Z",-0.06873387
"LAYING","3","BodyGyroJerk","std","X",-0.980328645
"LAYING","3","BodyGyroJerk","std","Y",-0.986762741935484
"LAYING","3","BodyGyroJerk","std","Z",-0.983338279516129
"LAYING","3","BodyGyroJerkMag","mean",NA,-0.98671362516129
"LAYING","3","BodyGyroJerkMag","std",NA,-0.983139255645161
"LAYING","3","BodyGyroMag","mean",NA,-0.951564751451613
"LAYING","3","BodyGyroMag","std",NA,-0.954275110967742
"LAYING","3","GravityAcc","mean","X",-0.241758478064516
"LAYING","3","GravityAcc","mean","Y",0.837032099677419
"LAYING","3","GravityAcc","mean","Z",0.48870318516129
"LAYING","3","GravityAcc","std","X",-0.982512193064516
"LAYING","3","GravityAcc","std","Y",-0.981202749677419
"LAYING","3","GravityAcc","std","Z",-0.964807543870968
"LAYING","3","GravityAccMag","mean",NA,-0.972791346129032
"LAYING","3","GravityAccMag","std",NA,-0.964218176451613
"LAYING","4","BodyAcc","mean","X",-0.347621431305556
"LAYING","4","BodyAcc","mean","Y",-0.476943279275
"LAYING","4","BodyAcc","mean","Z",-0.539096214601852
"LAYING","4","BodyAcc","std","X",-0.953329310185185
"LAYING","4","BodyAcc","std","Y",-0.944047506759259
"LAYING","4","BodyAcc","std","Z",-0.962410884537037
"LAYING","4","BodyAccJerk","mean","X",-0.442546517814815
"LAYING","4","BodyAccJerk","mean","Y",-0.468518427541269
"LAYING","4","BodyAccJerk","mean","Z",-0.490896936365926
"LAYING","4","BodyAccJerk","std","X",-0.979191036851852
"LAYING","4","BodyAccJerk","std","Y",-0.943288185
"LAYING","4","BodyAccJerk","std","Z",-0.979386610277778
"LAYING","4","BodyAccJerkMag","mean",NA,-0.970095771666667
"LAYING","4","BodyAccJerkMag","std",NA,-0.960786430740741
"LAYING","4","BodyAccMag","mean",NA,-0.946973652222222
"LAYING","4","BodyAccMag","std",NA,-0.934240096287037
"LAYING","4","BodyBodyAccJerkMag","mean",NA,-0.96228712537037
"LAYING","4","BodyBodyAccJerkMag","std",NA,-0.958037119259259
"LAYING","4","BodyBodyGyroJerkMag","mean",NA,-0.983609073333333
"LAYING","4","BodyBodyGyroJerkMag","std",NA,-0.982543631666667
"LAYING","4","BodyBodyGyroMag","mean",NA,-0.961556660185185
"LAYING","4","BodyBodyGyroMag","std",NA,-0.947100325185185
"LAYING","4","BodyGyro","mean","X",-0.488217649976852
"LAYING","4","BodyGyro","mean","Y",-0.532600328575
"LAYING","4","BodyGyro","mean","Z",-0.39587942925
"LAYING","4","BodyGyro","std","X",-0.974098580833333
"LAYING","4","BodyGyro","std","Y",-0.958645896018518
"LAYING","4","BodyGyro","std","Z",-0.963940610833333
"LAYING","4","BodyGyroJerk","mean","X",-0.105019877685185
"LAYING","4","BodyGyroJerk","mean","Y",-0.0381230432222222
"LAYING","4","BodyGyroJerk","mean","Z",-0.0712156288333333
"LAYING","4","BodyGyroJerk","std","X",-0.975103204259259
"LAYING","4","BodyGyroJerk","std","Y",-0.986855629814815
"LAYING","4","BodyGyroJerk","std","Z",-0.983965359814815
"LAYING","4","BodyGyroJerkMag","mean",NA,-0.985068502037037
"LAYING","4","BodyGyroJerkMag","std",NA,-0.982698213703704
"LAYING","4","BodyGyroMag","mean",NA,-0.930236462592593
"LAYING","4","BodyGyroMag","std",NA,-0.947031781666667
"LAYING","4","GravityAcc","mean","X",-0.420664662222222
"LAYING","4","GravityAcc","mean","Y",0.915165104259259
"LAYING","4","GravityAcc","mean","Z",0.341531310555556
"LAYING","4","GravityAcc","std","X",-0.921199965925926
"LAYING","4","GravityAcc","std","Y",-0.969816635740741
"LAYING","4","GravityAcc","std","Z",-0.976176608888889
"LAYING","4","GravityAccMag","mean",NA,-0.954557603148148
"LAYING","4","GravityAccMag","std",NA,-0.931292216611111
"LAYING","5","BodyAcc","mean","X",-0.345203676442308
"LAYING","5","BodyAcc","mean","Y",-0.491861866644231
"LAYING","5","BodyAcc","mean","Z",-0.542472664144231
"LAYING","5","BodyAcc","std","X",-0.965444201634615
"LAYING","5","BodyAcc","std","Y",-0.9711024
"LAYING","5","BodyAcc","std","Z",-0.96722235375
"LAYING","5","BodyAccJerk","mean","X",-0.448936587346154
"LAYING","5","BodyAccJerk","mean","Y",-0.478926978928846
"LAYING","5","BodyAccJerk","mean","Z",-0.493145490509808
"LAYING","5","BodyAccJerk","std","X",-0.98446656625
"LAYING","5","BodyAccJerk","std","Y",-0.965401505480769
"LAYING","5","BodyAccJerk","std","Z",-0.98577748375
"LAYING","5","BodyAccJerkMag","mean",NA,-0.980141253846154
"LAYING","5","BodyAccJerkMag","std",NA,-0.977477145384615
"LAYING","5","BodyAccMag","mean",NA,-0.964506433461538
"LAYING","5","BodyAccMag","std",NA,-0.960569077884615
"LAYING","5","BodyBodyAccJerkMag","mean",NA,-0.977356379807692
"LAYING","5","BodyBodyAccJerkMag","std",NA,-0.976381934807692
"LAYING","5","BodyBodyGyroJerkMag","mean",NA,-0.984618025769231
"LAYING","5","BodyBodyGyroJerkMag","std",NA,-0.983434493076923
"LAYING","5","BodyBodyGyroMag","mean",NA,-0.968257068846154
"LAYING","5","BodyBodyGyroMag","std",NA,-0.959263063269231
"LAYING","5","BodyGyro","mean","X",-0.498845496540481
"LAYING","5","BodyGyro","mean","Y",-0.529060302692308
"LAYING","5","BodyGyro","mean","Z",-0.401654290759615
"LAYING","5","BodyGyro","std","X",-0.980102238173077
"LAYING","5","BodyGyro","std","Y",-0.977342585769231
"LAYING","5","BodyGyro","std","Z",-0.9619447575
"LAYING","5","BodyGyroJerk","mean","X",-0.102114125
"LAYING","5","BodyGyroJerk","mean","Y",-0.0404446925288462
"LAYING","5","BodyGyroJerk","mean","Z",-0.07083096875
"LAYING","5","BodyGyroJerk","std","X",-0.983422257692308
"LAYING","5","BodyGyroJerk","std","Y",-0.983759479230769
"LAYING","5","BodyGyroJerk","std","Z",-0.989679592307692
"LAYING","5","BodyGyroJerkMag","mean",NA,-0.9864194225
"LAYING","5","BodyGyroJerkMag","std",NA,-0.98377138
"LAYING","5","BodyGyroMag","mean",NA,-0.946938300576923
"LAYING","5","BodyGyroMag","std",NA,-0.958287921923077
"LAYING","5","GravityAcc","mean","X",-0.483470597692308
"LAYING","5","GravityAcc","mean","Y",0.954890346153846
"LAYING","5","GravityAcc","mean","Z",0.263644691923077
"LAYING","5","GravityAcc","std","X",-0.945695336153846
"LAYING","5","GravityAcc","std","Y",-0.985964053846154
"LAYING","5","GravityAcc","std","Z",-0.977076645
"LAYING","5","GravityAccMag","mean",NA,-0.966777882884615
"LAYING","5","GravityAccMag","std",NA,-0.958612786346154
"LAYING","6","BodyAcc","mean","X",-0.345228867035088
"LAYING","6","BodyAcc","mean","Y",-0.466979854229825
"LAYING","6","BodyAcc","mean","Z",-0.535582241324561
"LAYING","6","BodyAcc","std","X",-0.933256181757018
"LAYING","6","BodyAcc","std","Y",-0.927178023157895
"LAYING","6","BodyAcc","std","Z",-0.924610424385965
"LAYING","6","BodyAccJerk","mean","X",-0.435362120657895
"LAYING","6","BodyAccJerk","mean","Y",-0.468594356288947
"LAYING","6","BodyAccJerk","mean","Z",-0.47556883592807
"LAYING","6","BodyAccJerk","std","X",-0.967480107105263
"LAYING","6","BodyAccJerk","std","Y",-0.934695973596491
"LAYING","6","BodyAccJerk","std","Z",-0.961606798070175
"LAYING","6","BodyAccJerkMag","mean",NA,-0.954750504912281
"LAYING","6","BodyAccJerkMag","std",NA,-0.950341934385965
"LAYING","6","BodyAccMag","mean",NA,-0.915615251526316
"LAYING","6","BodyAccMag","std",NA,-0.901350112894737
"LAYING","6","BodyBodyAccJerkMag","mean",NA,-0.948655471052632
"LAYING","6","BodyBodyAccJerkMag","std",NA,-0.951552664035088
"LAYING","6","BodyBodyGyroJerkMag","mean",NA,-0.953695957368421
"LAYING","6","BodyBodyGyroJerkMag","std",NA,-0.955504654561404
"LAYING","6","BodyBodyGyroMag","mean",NA,-0.930153639473684
"LAYING","6","BodyBodyGyroMag","std",NA,-0.928694890175439
"LAYING","6","BodyGyro","mean","X",-0.471700136162281
"LAYING","6","BodyGyro","mean","Y",-0.524494929720175
"LAYING","6","BodyGyro","mean","Z",-0.376767277280702
"LAYING","6","BodyGyro","std","X",-0.958771601842105
"LAYING","6","BodyGyro","std","Y",-0.94450002368421
"LAYING","6","BodyGyro","std","Z",-0.943139326491228
"LAYING","6","BodyGyroJerk","mean","X",-0.111267284631579
"LAYING","6","BodyGyroJerk","mean","Y",-0.0424104289992982
"LAYING","6","BodyGyroJerk","mean","Z",-0.0717774743859649
"LAYING","6","BodyGyroJerk","std","X",-0.939611608245614
"LAYING","6","BodyGyroJerk","std","Y",-0.958628819649123
"LAYING","6","BodyGyroJerk","std","Z",-0.959579071578947
"LAYING","6","BodyGyroJerkMag","mean",NA,-0.955645738245614
"LAYING","6","BodyGyroJerkMag","std",NA,-0.953157001578947
"LAYING","6","BodyGyroMag","mean",NA,-0.908980174736842
"LAYING","6","BodyGyroMag","std",NA,-0.920914497017544
"LAYING","6","GravityAcc","mean","X",-0.47670987877193
"LAYING","6","GravityAcc","mean","Y",0.956593814210526
"LAYING","6","GravityAcc","mean","Z",0.175867709021053
"LAYING","6","GravityAcc","std","X",-0.887746310350877
"LAYING","6","GravityAcc","std","Y",-0.959161956491228
"LAYING","6","GravityAcc","std","Z",-0.928130738421053
"LAYING","6","GravityAccMag","mean",NA,-0.918878850824561
"LAYING","6","GravityAccMag","std",NA,-0.897326245964912
"LAYING","7","BodyAcc","mean","X",-0.351623775769231
"LAYING","7","BodyAcc","mean","Y",-0.481317552767308
"LAYING","7","BodyAcc","mean","Z",-0.529986340596154
"LAYING","7","BodyAcc","std","X",-0.933817095288462
"LAYING","7","BodyAcc","std","Y",-0.924590285480769
"LAYING","7","BodyAcc","std","Z",-0.953179506153846
"LAYING","7","BodyAccJerk","mean","X",-0.441751322557692
"LAYING","7","BodyAccJerk","mean","Y",-0.473734615241346
"LAYING","7","BodyAccJerk","mean","Z",-0.491345184756442
"LAYING","7","BodyAccJerk","std","X",-0.982268965769231
"LAYING","7","BodyAccJerk","std","Y",-0.974489652596154
"LAYING","7","BodyAccJerk","std","Z",-0.974028029711538
"LAYING","7","BodyAccJerkMag","mean",NA,-0.980127239615385
"LAYING","7","BodyAccJerkMag","std",NA,-0.967310932307692
"LAYING","7","BodyAccMag","mean",NA,-0.932184452240385
"LAYING","7","BodyAccMag","std",NA,-0.908790988036538
"LAYING","7","BodyBodyAccJerkMag","mean",NA,-0.968066259230769
"LAYING","7","BodyBodyAccJerkMag","std",NA,-0.965359228076923
"LAYING","7","BodyBodyGyroJerkMag","mean",NA,-0.974117912115385
"LAYING","7","BodyBodyGyroJerkMag","std",NA,-0.969403035384615
"LAYING","7","BodyBodyGyroMag","mean",NA,-0.941130719230769
"LAYING","7","BodyBodyGyroMag","std",NA,-0.918892518653846
"LAYING","7","BodyGyro","mean","X",-0.478255483411635
"LAYING","7","BodyGyro","mean","Y",-0.545587951375
"LAYING","7","BodyGyro","mean","Z",-0.400492640596154
"LAYING","7","BodyGyro","std","X",-0.961237538461538
"LAYING","7","BodyGyro","std","Y",-0.942399904519231
"LAYING","7","BodyGyro","std","Z",-0.957085651538461
"LAYING","7","BodyGyroJerk","mean","X",-0.105944243484615
"LAYING","7","BodyGyroJerk","mean","Y",-0.0358897425826923
"LAYING","7","BodyGyroJerk","mean","Z",-0.0671901794615385
"LAYING","7","BodyGyroJerk","std","X",-0.9738372325
"LAYING","7","BodyGyroJerk","std","Y",-0.976483727307692
"LAYING","7","BodyGyroJerk","std","Z",-0.988871878269231
"LAYING","7","BodyGyroJerkMag","mean",NA,-0.983008829038462
"LAYING","7","BodyGyroJerkMag","std",NA,-0.971205137884615
"LAYING","7","BodyGyroMag","mean",NA,-0.915793634807692
"LAYING","7","BodyGyroMag","std",NA,-0.918662459038462
"LAYING","7","GravityAcc","mean","X",-0.502814250576923
"LAYING","7","GravityAcc","mean","Y",0.393444278076923
"LAYING","7","GravityAcc","mean","Z",0.907537823461538
"LAYING","7","GravityAcc","std","X",-0.914221270096154
"LAYING","7","GravityAcc","std","Y",-0.955543549230769
"LAYING","7","GravityAcc","std","Z",-0.961908984423077
"LAYING","7","GravityAccMag","mean",NA,-0.936392023846154
"LAYING","7","GravityAccMag","std",NA,-0.907039513153846
"LAYING","8","BodyAcc","mean","X",-0.346142140490741
"LAYING","8","BodyAcc","mean","Y",-0.486522418545926
"LAYING","8","BodyAcc","mean","Z",-0.523257439842593
"LAYING","8","BodyAcc","std","X",-0.941583256851852
"LAYING","8","BodyAcc","std","Y",-0.933063958481481
"LAYING","8","BodyAcc","std","Z",-0.931818975962963
"LAYING","8","BodyAccJerk","mean","X",-0.442638952925926
"LAYING","8","BodyAccJerk","mean","Y",-0.476273760746852
"LAYING","8","BodyAccJerk","mean","Z",-0.489516507900556
"LAYING","8","BodyAccJerk","std","X",-0.974606476851852
"LAYING","8","BodyAccJerk","std","Y",-0.977845916851852
"LAYING","8","BodyAccJerk","std","Z",-0.967393398796296
"LAYING","8","BodyAccJerkMag","mean",NA,-0.97314748962963
"LAYING","8","BodyAccJerkMag","std",NA,-0.962954517222222
"LAYING","8","BodyAccMag","mean",NA,-0.933794139703704
"LAYING","8","BodyAccMag","std",NA,-0.915254154712963
"LAYING","8","BodyBodyAccJerkMag","mean",NA,-0.961792852407407
"LAYING","8","BodyBodyAccJerkMag","std",NA,-0.963791094259259
"LAYING","8","BodyBodyGyroJerkMag","mean",NA,-0.968403945925926
"LAYING","8","BodyBodyGyroJerkMag","std",NA,-0.971793279814815
"LAYING","8","BodyBodyGyroMag","mean",NA,-0.944528950555556
"LAYING","8","BodyBodyGyroMag","std",NA,-0.93678697
"LAYING","8","BodyGyro","mean","X",-0.476275137021296
"LAYING","8","BodyGyro","mean","Y",-0.523274287022222
"LAYING","8","BodyGyro","mean","Z",-0.414636465851852
"LAYING","8","BodyGyro","std","X",-0.966525189166667
"LAYING","8","BodyGyro","std","Y",-0.951177928333333
"LAYING","8","BodyGyro","std","Z",-0.969130860555556
"LAYING","8","BodyGyroJerk","mean","X",-0.106445008314815
"LAYING","8","BodyGyroJerk","mean","Y",-0.0389735198722222
"LAYING","8","BodyGyroJerk","mean","Z",-0.0694123150925926
"LAYING","8","BodyGyroJerk","std","X",-0.969924077407407
"LAYING","8","BodyGyroJerk","std","Y",-0.974186451851852
"LAYING","8","BodyGyroJerk","std","Z",-0.987601203703704
"LAYING","8","BodyGyroJerkMag","mean",NA,-0.978438191296296
"LAYING","8","BodyGyroJerkMag","std",NA,-0.969029111666667
"LAYING","8","BodyGyroMag","mean",NA,-0.924253348518518
"LAYING","8","BodyGyroMag","std",NA,-0.932470764444444
"LAYING","8","GravityAcc","mean","X",-0.405930036111111
"LAYING","8","GravityAcc","mean","Y",0.589922434814815
"LAYING","8","GravityAcc","mean","Z",0.719831539259259
"LAYING","8","GravityAcc","std","X",-0.918873192333333
"LAYING","8","GravityAcc","std","Y",-0.957990036481482
"LAYING","8","GravityAcc","std","Z",-0.94183626337037
"LAYING","8","GravityAccMag","mean",NA,-0.935308633888889
"LAYING","8","GravityAccMag","std",NA,-0.91325033
"LAYING","9","BodyAcc","mean","X",-0.3438349786
"LAYING","9","BodyAcc","mean","Y",-0.477446710031
"LAYING","9","BodyAcc","mean","Z",-0.52673436102
"LAYING","9","BodyAcc","std","X",-0.9416570586
"LAYING","9","BodyAcc","std","Y",-0.9145647636
"LAYING","9","BodyAcc","std","Z",-0.9413392245
"LAYING","9","BodyAccJerk","mean","X",-0.43811530868
"LAYING","9","BodyAccJerk","mean","Y",-0.476260536741
"LAYING","9","BodyAccJerk","mean","Z",-0.4814814464292
"LAYING","9","BodyAccJerk","std","X",-0.9666708872
"LAYING","9","BodyAccJerk","std","Y",-0.9653154079
"LAYING","9","BodyAccJerk","std","Z",-0.9591385863
"LAYING","9","BodyAccJerkMag","mean",NA,-0.9633745492
"LAYING","9","BodyAccJerkMag","std",NA,-0.9550268052
"LAYING","9","BodyAccMag","mean",NA,-0.9287363664
"LAYING","9","BodyAccMag","std",NA,-0.918528269277
"LAYING","9","BodyBodyAccJerkMag","mean",NA,-0.9543205856
"LAYING","9","BodyBodyAccJerkMag","std",NA,-0.9550947122
"LAYING","9","BodyBodyGyroJerkMag","mean",NA,-0.9558062546
"LAYING","9","BodyBodyGyroJerkMag","std",NA,-0.9522904702
"LAYING","9","BodyBodyGyroMag","mean",NA,-0.9186053356
"LAYING","9","BodyBodyGyroMag","std",NA,-0.9034005814
"LAYING","9","BodyGyro","mean","X",-0.471964978574
"LAYING","9","BodyGyro","mean","Y",-0.546741289615
"LAYING","9","BodyGyro","mean","Z",-0.429269999259
"LAYING","9","BodyGyro","std","X",-0.9443178301
"LAYING","9","BodyGyro","std","Y",-0.924875234
"LAYING","9","BodyGyro","std","Z",-0.9636408412
"LAYING","9","BodyGyroJerk","mean","X",-0.10384667982
"LAYING","9","BodyGyroJerk","mean","Y",-0.027552256948
"LAYING","9","BodyGyroJerk","mean","Z",-0.0569490475
"LAYING","9","BodyGyroJerk","std","X",-0.945329035
"LAYING","9","BodyGyroJerk","std","Y",-0.9621702422
"LAYING","9","BodyGyroJerk","std","Z",-0.9770761602
"LAYING","9","BodyGyroJerkMag","mean",NA,-0.964524819
"LAYING","9","BodyGyroJerkMag","std",NA,-0.9528015598
"LAYING","9","BodyGyroMag","mean",NA,-0.9071250998
"LAYING","9","BodyGyroMag","std",NA,-0.8985578738
"LAYING","9","GravityAcc","mean","X",-0.5802528348
"LAYING","9","GravityAcc","mean","Y",-0.1191541962
"LAYING","9","GravityAcc","mean","Z",0.9578730416
"LAYING","9","GravityAcc","std","X",-0.9218210626
"LAYING","9","GravityAcc","std","Y",-0.9699944882
"LAYING","9","GravityAcc","std","Z",-0.9712046902
"LAYING","9","GravityAccMag","mean",NA,-0.9308684376
"LAYING","9","GravityAccMag","std",NA,-0.91512680016
"LAYING","10","BodyAcc","mean","X",-0.344476817241379
"LAYING","10","BodyAcc","mean","Y",-0.489318166637931
"LAYING","10","BodyAcc","mean","Z",-0.540734743767241
"LAYING","10","BodyAcc","std","X",-0.968125861810345
"LAYING","10","BodyAcc","std","Y",-0.946341725163793
"LAYING","10","BodyAcc","std","Z",-0.959642577094828
"LAYING","10","BodyAccJerk","mean","X",-0.452599802152586
"LAYING","10","BodyAccJerk","mean","Y",-0.476170088348017
"LAYING","10","BodyAccJerk","mean","Z",-0.482712658534138
"LAYING","10","BodyAccJerk","std","X",-0.978455915431034
"LAYING","10","BodyAccJerk","std","Y",-0.967525742844828
"LAYING","10","BodyAccJerk","std","Z",-0.977419500862069
"LAYING","10","BodyAccJerkMag","mean",NA,-0.976234435172414
"LAYING","10","BodyAccJerkMag","std",NA,-0.967556980689655
"LAYING","10","BodyAccMag","mean",NA,-0.953814964396552
"LAYING","10","BodyAccMag","std",NA,-0.942303314568966
"LAYING","10","BodyBodyAccJerkMag","mean",NA,-0.968561121551724
"LAYING","10","BodyBodyAccJerkMag","std",NA,-0.965377553448276
"LAYING","10","BodyBodyGyroJerkMag","mean",NA,-0.960976821551724
"LAYING","10","BodyBodyGyroJerkMag","std",NA,-0.960772875517241
"LAYING","10","BodyBodyGyroMag","mean",NA,-0.937692642586207
"LAYING","10","BodyBodyGyroMag","std",NA,-0.933701315344828
"LAYING","10","BodyGyro","mean","X",-0.486674924615517
"LAYING","10","BodyGyro","mean","Y",-0.515851300104655
"LAYING","10","BodyGyro","mean","Z",-0.432517649448276
"LAYING","10","BodyGyro","std","X",-0.963128883103448
"LAYING","10","BodyGyro","std","Y",-0.953556852068966
"LAYING","10","BodyGyro","std","Z",-0.973619697241379
"LAYING","10","BodyGyroJerk","mean","X",-0.100308254413793
"LAYING","10","BodyGyroJerk","mean","Y",-0.0388797920413793
"LAYING","10","BodyGyroJerk","mean","Z",-0.0590744912758621
"LAYING","10","BodyGyroJerk","std","X",-0.965900578103448
"LAYING","10","BodyGyroJerk","std","Y",-0.966621040344828
"LAYING","10","BodyGyroJerk","std","Z",-0.983949302758621
